Window_Start(ms),Mean_NN,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Label
99987,676.4690553745928,208.04747998575624,240.36342989600675,25761.79296444942,22027.683812015195,1.16951891920645,Sitting
159987,670.4175824175824,201.29278509644658,222.2065563309746,28814.48760205976,17092.905055801424,1.6857571903659505,Sitting
219987,653.6314102564103,178.98174069042707,190.75891756409473,25346.058856573545,11909.206058413392,2.1282744401477154,Sitting
279987,639.6595092024539,166.07924789495587,173.0137122178026,20988.992662153156,11341.863243519823,1.8505771240140128,Sitting
339987,633.3944636678201,178.92076527380948,183.97026669485965,26369.145177422117,12812.607036501884,2.0580624304092807,Sitting
399987,613.4879518072289,187.51073022957004,209.0255553262715,22972.650743037873,17891.1918627495,1.284020143502472,Sitting
459987,604.4144927536232,174.1825772709277,195.09615250160684,18834.0003154591,15963.22416725497,1.1798368624110969,Sitting
519987,603.0792079207921,203.24975368489373,217.67094218762338,16884.745807306997,13579.372306440631,1.2434113614587798,Sitting
579987,601.8525073746313,197.57484392981326,214.23062422312452,23435.625998688163,10978.839850808738,2.134617711630234,Sitting
639987,596.3542857142858,188.99387797017152,206.01403407281995,23793.981215307096,8468.849292194951,2.8095884569862486,Sitting
699987,609.3733333333333,193.12711001364417,191.3124097571569,33335.458371762914,8214.786318786184,4.057982408565992,Sitting
759987,601.1150442477876,187.70925010779433,202.35528834674295,31369.1676504374,13187.810429303257,2.378648663369868,Sitting
819987,594.8971428571429,159.9669099456229,189.0568962737231,17296.52885278192,11604.971877912256,1.4904412552435742,Sitting
879987,601.5032894736842,173.69416934043463,211.38011840153166,17390.903287135927,16871.24980520887,1.030801125460582,Sitting
939987,606.5238095238095,183.33564237878,229.96284579853588,16781.277457608317,18708.454724730887,0.8969889659259236,Sitting
999987,606.3895348837209,168.40373865448154,217.62524291930183,10493.548856154242,14466.36471855729,0.7253756600435517,Sitting
1059987,617.1554054054054,175.98660932005814,227.25340891702106,17835.004579189455,20028.82182558946,0.8904669847530865,Sitting
1119987,621.3475609756098,181.38870116047832,233.9695280611603,14296.356884311335,16204.720183706842,0.8822341097062395,Sitting
1179987,610.3313782991203,167.1428485776511,214.4822630812874,12507.454395257546,13836.398908933466,0.9039530066730088,Sitting
1239987,609.71,139.15595292093448,179.16748204424144,9675.221659208419,12743.55566283209,0.7592246555980614,Sitting
1299987,612.4534534534534,145.5056475847747,180.32098221367923,7626.43668852116,10024.153639484091,0.7608060453584256,Sitting
1359987,609.4901960784314,144.68783696399996,191.4961198939191,5980.152096265607,7623.2347768222235,0.7844638491848283,Sitting
1419987,605.0912698412699,150.4614977485493,192.77846832207578,1667.997887292352,3784.0145752903313,0.4408011264503054,Sitting
1479987,602.6123188405797,157.2486436672911,203.42324887243882,8791.858726845976,19221.875365655542,0.4573881871357217,Sitting
1539987,604.9829931972789,165.58501644156192,210.558926273495,14593.29064275937,24954.84178461782,0.5847879449091392,Sitting
1599987,601.7440944881889,180.13693791705467,219.6570089503808,12055.697716702573,11667.33587200865,1.0332862488021493,Sitting
1659987,604.3514376996806,165.0468356594328,193.254009478425,18070.38300328997,18137.201336340342,0.9963159512974865,Sitting
1719987,606.4883720930233,160.21123368751486,191.61809838014298,16491.970919778727,15033.633446273303,1.0970049907573696,Sitting
1779987,607.5686900958466,152.7749161156071,178.16877442326188,18281.971460409342,16339.57458495048,1.1188768327694347,Sitting
1839987,606.2923076923076,149.63692706290252,181.19626491667285,9717.286399266253,7856.042801710096,1.236918719072025,Sitting
1899987,605.2848837209302,126.66397224357588,164.66698437586155,8240.503701129051,7856.089673351062,1.0489319806368778,Sitting
1959987,605.2547770700637,136.00772291947288,174.45160995890063,2384.7853766809435,4596.449999722075,0.5188320066192692,Sitting
2019987,600.2103658536586,131.44140497320302,180.21156442101693,5528.739667308999,6824.166345148223,0.8101707062342884,Sitting
